# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0	0.033528745	7.686296e-11	0	0	0
0	0.011010118	0.03370247	-9.697736e-11	0.001	0	0
0	0.023151226	0.0343618	-6.7374994e-11	0.002	0	0
0	0.0673854	0.01698613	-5.149836e-11	0.0030000003	0	0
0	0.095760666	0.017000282	1.073861e-10	0.004	0	0
0	0.15651496	-3.085006e-09	-3.767031e-11	0.0049999994	0	0
0	0.16756174	-5.820766e-09	1.2689766e-10	0.0060000005	0	0
0	0.19531995	-4.947651e-09	7.673208e-11	0.0069999998	0	0
0	0.22296722	-1.7462298e-09	-5.1881277e-12	0.008	0	0
0	0.25044918	-4.773028e-09	-4.907158e-11	0.009	0	0
0	0.27771947	-5.646143e-09	-2.131073e-12	0.009999999	0	0
0	0.30479243	-2.6775524e-09	3.260725e-13	0.011	0	0
0	0.3664019	-5.820766e-09	1.09812825e-10	0.012000001	0	0
0	0.37581563	-3.259629e-09	2.9235758e-10	0.012999998	0	0
0	0.38535196	-4.2491592e-09	-2.9035246e-11	0.0139999995	0	0
0	0.41207856	-6.7520887e-09	5.7971072e-11	0.015	0	0
0	0.42178062	-5.296897e-09	-8.6516655e-11	0.016	0	0
0	0.46538162	-4.0163286e-09	-1.2063444e-11	0.017000003	0	0
0	0.47424334	-7.508788e-09	-1.9285323e-10	0.018	0	0
0	0.48357874	-7.916242e-09	1.1243899e-10	0.019	0	0
0	0.5093149	-6.2282197e-09	-5.4455884e-11	0.019999998	0	0
0	0.53524137	-1.8626451e-09	-3.505357e-10	0.021	0	0
0	0.54399776	-2.3283064e-09	1.15889964e-10	0.022	0	0
0	0.56953776	-2.2118911e-09	-2.2046587e-11	0.023	0	0
0	0.57834524	-2.4447218e-09	-8.888473e-11	0.024000002	0	0
0	0.6035538	-1.8859282e-08	-5.4114963e-11	0.025000002	0	0
0	0.61261404	-5.005859e-09	-2.6740485e-11	0.025999997	0	0
0	0.90267587	-5.4133125e-09	-1.0107379e-10	0.026999999	0	0
0	0.90553266	-9.19681e-09	2.9896882e-10	0.027999999	0	0
0	0.90825075	-7.1013346e-09	4.1368915e-11	0.029	0	0
0	0.9108406	-3.7252903e-09	1.538694e-10	0.03	0	0
0	0.9133112	-4.598405e-09	-8.870143e-11	0.031000001	0	0
0	0.91567135	-7.566996e-10	9.865418e-11	0.032	0	0
0	0.91792834	-5.47152e-09	-1.8217873e-10	0.032999996	0	0
0	0.9200892	-4.773028e-09	8.535442e-11	0.034000006	0	0
0	0.9221604	-1.1641532e-09	1.09413326e-10	0.035	0	0
0	0.9241476	-6.0535967e-09	-1.5193463e-10	0.036	0	0
0	0.9260565	8.1490725e-10	9.216343e-11	0.037	0	0
0	0.92789114	-1.5716068e-09	-3.079855e-11	0.038	0	0
0	0.92965686	-6.2282197e-09	-7.786836e-11	0.039	0	0
0	0.9313577	1.2223609e-09	2.4374047e-10	0.039999995	0	0
0	0.9329978	-3.085006e-09	1.1618751e-10	0.041000005	0	0
0	0.9345807	-3.434252e-09	1.5801548e-11	0.042	0	0
0	0.93611	-3.434252e-09	8.194752e-11	0.043000005	0	0
0	0.93758947	-8.731149e-10	2.6194852e-11	0.044	0	0
0	0.9390224	1.8044375e-09	6.610048e-11	0.045	0	0
0	0.9404127	8.731149e-10	-2.5672374e-11	0.046	0	0
0	0.9417646	-3.2014214e-09	1.435774e-10	0.046999995	0	0
0	0.94308347	4.947651e-09	1.05912765e-10	0.048000004	0	0
0	0.9443776	-7.858034e-10	2.1968107e-10	0.049	0	0
0	0.94566447	3.2305252e-09	-1.0533864e-11	0.050000004	0	0
0	0.9470263	-6.1118044e-09	-4.1859818e-11	0.051	0	0
0	0.9544456	5.4074917e-08	-5.481663e-11	0.051999994	0	0
0	0.95519197	5.750917e-08	9.1542746e-12	0.053	0	0
0	0.9559209	5.47152e-08	-4.4230966e-11	0.053999998	0	0
0	0.95663315	5.5413693e-08	7.790058e-11	0.055000003	0	0
0	0.9573292	5.5937562e-08	8.399622e-11	0.055999998	0	0
0	0.95800966	5.7858415e-08	1.5340403e-12	0.057000004	0	0
0	0.95867497	5.8673322e-08	2.6786812e-11	0.058	0	0
0	0.95932555	5.5297278e-08	-1.4650678e-10	0.059000008	0	0
0	0.95996195	5.2386895e-08	-1.296703e-10	0.06	0	0
0	0.96058476	4.9185473e-08	4.1633808e-11	0.060999997	0	0
0	0.9611942	4.7381036e-08	-3.060158e-11	0.062000003	0	0
0	0.9617908	5.0175004e-08	7.990223e-12	0.063	0	0
0	0.9623749	4.7381036e-08	-3.3830036e-11	0.064	0	0
0	0.962947	4.2142347e-08	5.5329102e-11	0.065	0	0
0	0.96350724	4.1967724e-08	-6.300806e-11	0.06599999	0	0
0	0.96405625	4.1443855e-08	1.6908028e-10	0.067	0	0
0	0.9645941	3.859168e-08	-8.350294e-11	0.06800001	0	0
0	0.9651213	3.8126018e-08	-1.319923e-10	0.069	0	0
0	0.96563816	3.4458935e-08	-1.7846273e-11	0.07	0	0
